frame_id,ok,gap_px,gap_mm,roi_enabled,roi_x,roi_y,blur_var,saturation_ratio,valid_ratio,edge_strength,gap_px_mean,gap_px_median,gap_px_std,n_valid,passes,reasons
20260113_024652,True,6.0,0.5700000000000001,True,200,80,31.202425189164373,0.0,1.0,999.0,6.387499809265137,6.0,2.5714478492736816,80,True,[]
20260113_024736,True,6.0,0.5700000000000001,True,200,80,28.810964634928833,0.0,0.9875,999.0,6.772151947021484,6.0,5.52313756942749,79,True,[]
20260113_024815,True,6.0,0.5700000000000001,True,200,80,37.43111151050276,0.0,1.0,999.0,6.9375,6.0,3.557891845703125,80,True,[]
20260113_024913,True,6.0,0.5700000000000001,True,200,80,39.59332877662993,0.0,0.9875,999.0,7.126582145690918,6.0,2.557525873184204,79,True,[]
20260113_025001,True,8.0,0.76,True,200,80,65.1213221060032,6.818181818181818e-05,1.0,999.0,8.6875,8.0,2.305394411087036,80,True,[]
20260113_025105,True,8.0,0.76,True,200,80,68.73421654522497,0.0,1.0,999.0,8.787500381469727,8.0,3.1332638263702393,80,True,[]
